X,Graphic Profile 1
95.7682316425,-6.29580000001
96.2670245169,-6.307
96.7658173901,-6.2828
97.2646102628,-6.2466
97.7634031359,-6.16650000001
98.2621960091,-6.1333
98.7609888818,-6.17849999999
99.2597817549,-6.21920000001
99.7585746276,-6.0667
100.257367501,-6.09910000001
100.756160376,-6.2075
101.25495325,-6.3838
101.753746122,-6.6064
102.252538995,-6.8435
102.751331868,-6.98119999999
103.250124741,-7.2233
103.748917614,-7.3774
104.247710487,-7.4423
104.74650336,-7.61569999999
105.245296233,-7.82309999999
105.744089106,-7.7547
106.242881979,-7.5004
106.741674851,-7.59269999999
107.240467727,-7.4356
107.739260599,-7.0387
108.238053472,-6.935
108.736846345,-6.7934
109.235639218,-6.6707
109.734432091,-6.6308
110.233224964,-6.6593
110.732017837,-6.6447
111.230810709,-6.5459
111.729603584,-6.461
112.228396458,-6.6563
112.72718933,-7.3259
113.225982203,-7.30439999999
113.724775076,-7.48699999999
114.22356795,-7.5019
114.722360822,-7.527
115.221153695,-7.2341
115.719946568,-7.6906
116.218739443,-7.8077
116.717532317,-7.6528
117.216325189,-7.1915
117.715118062,-6.8714
118.213910935,-6.70419999999
118.712703808,-6.5705
119.211496681,-6.4366
119.710289554,-6.3314
120.209082427,-6.311
120.7078753,-6.29790000001
121.206668173,-6.3229
121.705461046,-6.2732
122.204253919,-6.1691
122.703046794,-6.11689999999
123.201839666,-6.08100000001
123.700632539,-6.0245
124.199425412,-6.0815
124.698218285,-6.18829999999
125.197011158,-6.20269999999
125.695804031,-6.12480000001
126.194596904,-5.883
126.693389777,-5.9181
127.192182652,-5.98330000001
127.690975525,-6.0472
128.189768398,-6.1008
128.68856127,-6.11289999999
129.187354144,-6.10950000001
129.686147017,-6.1513
130.184939889,-6.1559
130.682359191,-6.2225
131.179778494,-6.3318
131.677197794,-6.45269999999
132.174617096,-6.58990000001
132.672036397,-6.9289
133.169455697,-7.804
133.666875,-8.2402
134.164294301,-8.3103
134.661713601,-8.3259
135.159132902,-8.2997
135.656552203,-8.33349999999
136.153971506,-8.39260000001
136.651390807,-8.238
137.148810108,-8.5673
137.646229409,-8.48910000001
138.14364871,-7.974
138.641068012,-7.3988
139.138487314,-7.2018
139.635906614,-7.1476
140.133325915,-6.9841
140.630745218,-6.8471
141.128164519,-6.7527
141.62558382,-6.5852
142.123003121,-6.6238
142.620422423,-6.46829999999
143.117841723,-6.35340000001
143.615261024,-6.3682
144.112680327,-6.3667
144.610099627,-6.311
145.107518928,-6.1933
145.604938232,-6.1355
146.102357532,-6.1263
146.599776833,-6.1198
147.097196134,-6.24069999999
147.594615435,-6.0901
148.092034736,-6.014
148.589454038,-6.0773
149.08687334,-6.1452
149.584292641,-6.1937
150.081711943,-6.2035
150.579131245,-6.3077
151.076550544,-6.49000000001
151.573969846,-6.7424
152.071389147,-7.1073
152.568808449,-7.7313
153.066227749,-8.3659
153.563647052,-8.5108
154.061066352,-8.5448
154.558485654,-8.48669999999
155.055904956,-8.4408
155.553324257,-7.70239999999
156.050743558,-8.82180000001
156.548162858,-8.78109999999
157.04558216,-8.78750000001
157.54300146,-8.5751
158.040420762,-8.06389999999
158.537840064,-8.0555
159.035259365,-7.7522
159.532678667,-7.3857
160.030097967,-7.20480000001
160.52751727,-7.1287
161.02493657,-6.9783
161.522355872,-6.87
162.019775173,-6.8002
162.517194473,-6.69070000001
163.014613777,-6.6274
163.512033078,-6.5267
164.009452378,-6.42509999999
164.50687168,-6.40609999999
165.004290979,-6.3046
165.501710283,-6.2072
165.999129585,-6.1906
166.496548884,-6.20940000001
166.993968186,-6.31020000001
167.491387486,-6.3006
167.988806789,-6.2623
168.48622609,-6.3443
168.983645391,-6.4151
169.481064693,-6.469
169.978483993,-6.7592
170.475903296,-8.0145
170.973322597,-8.3311
171.470741897,-7.7604
171.968161199,-7.69839999999
172.465580501,-8.3624
172.962999802,-8.4792
173.460419104,-8.52959999999
173.957838404,-8.6281
174.455257706,-8.5456
174.952677006,-8.03320000001
175.450096306,-7.40180000001
175.947515609,-7.1073
176.44493491,-6.9693
176.942354211,-6.769
177.439773515,-6.61040000001
177.937192815,-6.4739
178.434612116,-6.4504
178.932031417,-6.3649
179.429450718,-6.30899999999
179.926870019,-6.2188
180.42428932,-6.18949999999
180.921708623,-6.1076
181.419127924,-6.04949999999
181.916547223,-6.03660000001
182.413966528,-6.03320000001
182.911385828,-5.96060000001
183.40880513,-5.8655
183.90622443,-5.85189999999
184.403643732,-5.8478
184.901063032,-5.8944
185.398482335,-5.89969999999
185.895901635,-5.91469999999
186.393320937,-5.9363
186.89074024,-6.1113
187.38815954,-6.3101
187.885578841,-6.4442
188.382998141,-6.5304
188.880417443,-6.628
189.377836743,-6.72040000001
189.875256045,-6.9185
190.372675348,-7.1382
190.870094648,-7.4575
191.36751395,-8.3063
191.864933249,-8.52159999999
192.362352553,-8.495
192.859771854,-7.82640000001
193.357191155,-7.4485
193.854610456,-7.27680000001
194.352029757,-7.0977
194.849449059,-8.3073
195.346868361,-9.21249999999
195.844287661,-9.23269999999
196.341706962,-9.2077
196.839126263,-7.8636
197.336545566,-8.3991
197.833964867,-7.6272
198.331384167,-7.3132
198.828803469,-7.1427
199.326222769,-7.0523
199.823642072,-6.8873
200.321061374,-6.7136
200.818480674,-6.62
201.315899976,-6.4473
201.813319276,-6.3771
202.310738579,-6.2317
202.808157881,-6.25569999999
203.30557718,-6.2292
203.802996482,-6.1844
204.300415785,-6.1572
204.797835085,-6.0794
205.295254386,-6.0912
205.792673687,-6.0953
